y,x,dominant_freq_Hz,energy_J,mass_kg,mass_ratio
0,0,1.0000000000000001e+18,6.626070150000001e-16,7.372497323812709e-33,0.008093299920080113
0,20,1.0000000000000001e+18,6.626070150000001e-16,7.372497323812709e-33,0.008093299920080113
0,40,1.0000000000000001e+18,6.626070150000001e-16,7.372497323812709e-33,0.008093299920080113
0,60,1.0000000000000001e+18,6.626070150000001e-16,7.372497323812709e-33,0.008093299920080113
0,80,1.0000000000000001e+18,6.626070150000001e-16,7.372497323812709e-33,0.008093299920080113
0,100,1.0000000000000001e+18,6.626070150000001e-16,7.372497323812709e-33,0.008093299920080113
0,120,1.0000000000000001e+18,6.626070150000001e-16,7.372497323812709e-33,0.008093299920080113
20,0,1.0000000000000001e+18,6.626070150000001e-16,7.372497323812709e-33,0.008093299920080113
20,20,1.0000000000000001e+18,6.626070150000001e-16,7.372497323812709e-33,0.008093299920080113
20,40,1.0000000000000001e+18,6.626070150000001e-16,7.372497323812709e-33,0.008093299920080113
20,60,1.0000000000000001e+18,6.626070150000001e-16,7.372497323812709e-33,0.008093299920080113
20,80,1.0000000000000001e+18,6.626070150000001e-16,7.372497323812709e-33,0.008093299920080113
20,100,1.0000000000000001e+18,6.626070150000001e-16,7.372497323812709e-33,0.008093299920080113
20,120,1.0000000000000001e+18,6.626070150000001e-16,7.372497323812709e-33,0.008093299920080113
40,0,1.0000000000000001e+18,6.626070150000001e-16,7.372497323812709e-33,0.008093299920080113
40,20,1.0000000000000001e+18,6.626070150000001e-16,7.372497323812709e-33,0.008093299920080113
40,40,1.0000000000000001e+18,6.626070150000001e-16,7.372497323812709e-33,0.008093299920080113
40,60,1.0000000000000001e+18,6.626070150000001e-16,7.372497323812709e-33,0.008093299920080113
40,80,1.0000000000000001e+18,6.626070150000001e-16,7.372497323812709e-33,0.008093299920080113
40,100,1.0000000000000001e+18,6.626070150000001e-16,7.372497323812709e-33,0.008093299920080113
40,120,1.0000000000000001e+18,6.626070150000001e-16,7.372497323812709e-33,0.008093299920080113
60,0,1.0000000000000001e+18,6.626070150000001e-16,7.372497323812709e-33,0.008093299920080113
60,20,1.0000000000000001e+18,6.626070150000001e-16,7.372497323812709e-33,0.008093299920080113
60,40,1.0000000000000001e+18,6.626070150000001e-16,7.372497323812709e-33,0.008093299920080113
60,60,1.0000000000000001e+18,6.626070150000001e-16,7.372497323812709e-33,0.008093299920080113
60,80,1.0000000000000001e+18,6.626070150000001e-16,7.372497323812709e-33,0.008093299920080113
60,100,1.0000000000000001e+18,6.626070150000001e-16,7.372497323812709e-33,0.008093299920080113
60,120,1.0000000000000001e+18,6.626070150000001e-16,7.372497323812709e-33,0.008093299920080113
80,0,1.0000000000000001e+18,6.626070150000001e-16,7.372497323812709e-33,0.008093299920080113
80,20,1.0000000000000001e+18,6.626070150000001e-16,7.372497323812709e-33,0.008093299920080113
80,40,1.0000000000000001e+18,6.626070150000001e-16,7.372497323812709e-33,0.008093299920080113
80,60,1.0000000000000001e+18,6.626070150000001e-16,7.372497323812709e-33,0.008093299920080113
80,80,1.0000000000000001e+18,6.626070150000001e-16,7.372497323812709e-33,0.008093299920080113
80,100,1.0000000000000001e+18,6.626070150000001e-16,7.372497323812709e-33,0.008093299920080113
80,120,1.0000000000000001e+18,6.626070150000001e-16,7.372497323812709e-33,0.008093299920080113
100,0,1.0000000000000001e+18,6.626070150000001e-16,7.372497323812709e-33,0.008093299920080113
100,20,1.0000000000000001e+18,6.626070150000001e-16,7.372497323812709e-33,0.008093299920080113
100,40,1.0000000000000001e+18,6.626070150000001e-16,7.372497323812709e-33,0.008093299920080113
100,60,1.0000000000000001e+18,6.626070150000001e-16,7.372497323812709e-33,0.008093299920080113
100,80,1.0000000000000001e+18,6.626070150000001e-16,7.372497323812709e-33,0.008093299920080113
100,100,1.0000000000000001e+18,6.626070150000001e-16,7.372497323812709e-33,0.008093299920080113
100,120,1.0000000000000001e+18,6.626070150000001e-16,7.372497323812709e-33,0.008093299920080113
120,0,1.0000000000000001e+18,6.626070150000001e-16,7.372497323812709e-33,0.008093299920080113
120,20,1.0000000000000001e+18,6.626070150000001e-16,7.372497323812709e-33,0.008093299920080113
120,40,1.0000000000000001e+18,6.626070150000001e-16,7.372497323812709e-33,0.008093299920080113
120,60,1.0000000000000001e+18,6.626070150000001e-16,7.372497323812709e-33,0.008093299920080113
120,80,1.0000000000000001e+18,6.626070150000001e-16,7.372497323812709e-33,0.008093299920080113
120,100,1.0000000000000001e+18,6.626070150000001e-16,7.372497323812709e-33,0.008093299920080113
120,120,1.0000000000000001e+18,6.626070150000001e-16,7.372497323812709e-33,0.008093299920080113
